index,is_hatespeech,class,text
146,1,0,herenni two partsa personnboricuaspicnpast presentnalive oppressedngiven cultural beautyn andu2026
147,1,1,i really dig stories immigrants coming usa making killing shit inspiring fr
148,1,1,why wasnu2019t much interest benghazi murders donu2019t even care ragheadjournalist nah gunu2026
149,1,4,and tweeted last one doubling cunt
150,1,4,not got bollocks put name face tweet though you pathetic cunt
151,1,3,dan fife biggest retard laconia itu2019s even close
152,1,4,are united gonna ruin fuckin sunday what lukaku better get dropped shit cunt
153,1,1,all see ching chong
154,1,5,what fucking faggot
155,1,3,so jonathan chait retarded
156,1,1,yeah baby mongy
157,1,3,im 26 retard
158,1,5,hurry faggot i wanna see
159,1,1,when white says “wassup nigger” made video calling nigger
160,1,4,cause utter bs lying feminazi ford
161,1,3,yeah dodge wager course shitter gig retard go get bruises dad
162,1,1,a front group abetting flocking illegal aliens country good riddance
163,1,5,probably weeb faggot
164,1,1,dumbasses really think im hurt call chink ching chong whatever bish im even hurt lmao
165,1,0,yep thats quid pro quo peters supporting refugees
166,1,1,yay kelas ching chong today
167,1,1,we had vote we fraud though copying shithole countries hear about
168,1,0,get schwacked faggot
169,1,4,if youu2019re boy harass girls clubs youu2019re fucking twat
170,1,0,im sick seeing face news feed cunt
171,1,2,kinda looks like raghead tbh
172,1,1,calling africa haiti shithole countries wrong
173,1,1,you calling faggot clapping cheeks nigga
174,1,1,charlie sloth mongy cunt
175,1,1,its okay white auspol
176,1,1,say tag right denilson spic
177,1,1,d d d d dni want bloke site the chinaman lol d d d
178,1,3,me important tangent chocolate pretzels retard foodnnyou guys nnme horse foreskinnnyou guys
179,1,0,how many us could keep spic n span kitchen lived 8000 feet without electricity tap water andu2026
180,1,1,and sheu2019s africa ya know place u201cshithole countriesu201d locatedud83dude44ud83dude44ud83dude44ud83dude44
181,1,1,mooooooom the immigrants broke laaaaaawwww
182,1,5,you faggot
183,1,0,you calling people insensitive thatu2019s best tweet day daft cunt
184,1,3,again i found another liberal retard ud83dudc47
185,1,5,going pippi longstocking halloween event tonight bc shes ginger wears dyke attire fit criteria
186,1,3,awe retarded
187,1,1,im even offended anymore jkfsd like jokes literally went typed ching chong unironically
188,1,0,i donu2019t play dayud83eudd23ud83eudd23ud83eudd23you deluded twat omd slap quickly remove
189,1,1,pitchblende radius mongoloid superindividual
190,1,0,what soulless fucking twat
191,1,3,pretty much made i say retard every
192,1,1,black youtubers demonetized say nigger i really wanna say nigger channel
193,1,1,im glad read silly spic like ever attain hold entry level jobs swing hamu2026
194,1,5,sorry time earls mom yelled called furry faggot
195,1,1,dtmag border patrol agents discover nearly 200 illegal immigrants remote arizona desert
196,1,3,i hate fucjing stupids ass fu king hick town man c nights fu king retarded still canes whole ass goinitxh
197,1,4,know cause prominent conservative men always ignorant asking raging liberal feminazis for…
198,1,0,this shooting totally leftist setup attack second amendment rights find perpsu2026
199,1,0,thank much we another shithole country full violence hate arrogantu2026
200,1,1,“it’s okay white” motion suspiciously delayed
201,1,1,complete twat are
202,1,4,u201chey siriyou twatu201d tess horowitz
203,1,5,this series even better knowing machado likes use faggot insult
204,1,1,i would cry people called fat i got called faggot annoying whatever omg ifu2026
205,1,1,this sort thing happens shithole country
206,1,4,for information absolute twat reason sjws told i deserve get gaybashed juu2026
207,1,1,fatlus mainstream nigger
208,1,4,who men hating feminazi i…
209,1,3,lebron teammates become retarded big situations
210,1,3,the director must retard
211,1,4,lol called twat didnu2019t you d
212,1,1,my baby told i beautiful bare face nigger twist
213,1,1,america go official bankruptcy quicker due many illegal aliens
214,1,0,look retarded fuckstick
215,1,1,them might probably says nigger one around
216,1,0,in pedo speak hotdogs means little boysnnso muslim faggot imported bunch black kids chiu2026
217,1,1,armies i get canada mexico cuba europe asia shithole countries even switzeu2026
218,1,3,im forced deal retarded people everyday
219,1,5,itu2019s better faggot
220,1,0,helped bring alc ae pi party faggot trying kick out iu2019ve less min fau2026
221,1,1,you turn around go back come give natives back whatu2026
222,1,3,just another mongoloid twitter
223,1,4,hahaha fucking cunt i know whats worse joking terriblu2026
224,1,1,white gringxs like u201chow saying u201cthe officeu201d bad better calling spic u201d
225,1,1,its decided race indians carry caucasoid australoid mongoloid races intermediu2026
226,1,0,my cousin making lunch date me canu2019t wait see pay every cunt
227,1,4,iu2019m getting fucking fat itu2019s joke but i nothing cos lazy cunt
228,1,5,lily really best dyke ever
229,1,1,there two types chinaman bowlers one kuldeep rest others kuldeep miles ahead others
230,1,1,yeah nonracists reflexively shout racist things late spic barista slow shout u201chey beu2026
231,1,5,hereu2019s ur question faggot ud83dudc96 another faggot u2014 isnt fucking question faggot
232,1,0,twat ud83dude0f
233,1,1,libye plus de 100 morts dans le naufrage de deux bateaux de migrants
234,1,4,still twat gotta give ratings thisud83dude02
235,1,0,ngl never laughed hard random ching chong video depicting unfortunate events wait it…
236,1,1,die nigger
237,1,4,orchestrated feminazis christine ford feminazi lawyer mx katz ranking feminazi and…
238,1,1,lol speak hazaramongol people nothing ethnic afghans nor geneticalu2026
239,1,1,coats go back come from
240,1,3,i keep getting different signs different ways amp like god looking like wow send another one bitch retarded
241,1,1,im ultimate spic grew little village beaner ass ranch drug lord abuelo ik gangbu2026
242,1,5,big 3720 oof faggot
243,1,0,yale study undocumented immigrants truth
244,1,3,yea theyve played ass off but cant win sec full retard qb
245,1,1,nigger
246,1,3,if use word retarded derogatory sense youu2019re piece shit lol
247,1,0,and leftist fanatics antifa another terrorist organization
248,1,3,youu2019re retard doesnu2019t even know uses liberal arguments lmao
249,1,4,youu2019re cheap cunt
250,1,1,mongy little twats bucket hats pretty green lap though idiots
251,1,1,are chinaman wetback looks like combo me
252,1,4,dave roberts literally lost game retarded bullpen moves
253,1,0,lmaooo one kefe says i look like cunt iu2019m gonna lose shit i swear hahahahahaha
254,1,1,okay ching chong
255,1,1,ching chong lookin ass
256,1,0,a retarded looking disturbed lunaticnthrow ocean brick tied ankle nnfood fisu2026
257,1,0,ready accept fate fucking cunt made way
258,1,1,fuck edrepresed cjkt biggs faggot
259,1,0,you clearly seem listen wife allnnshes great listener take back twat
260,1,5,boy gay retard kowalsaki anal
261,1,1,you support sanctuary cities criminal illegal aliens credibility governor ameri…
262,1,1,do invite someone home without knowing are lettin illegal aliens vote is only…
263,1,1,snapchat vid sneakers footwell mongy tunes background genderneutralbehaviour
264,1,0,cleaned airedud83dudca8the apartment spic span almost done withud83dudec5unpacking still laundryud83dudca8
265,1,1,bitch i aint even muzzie u afghan terror camel
266,1,1,why people shithole countries come here trump reporteu2026
267,1,1,this accurate thank u nigger twink
268,1,1,justin trudeau promising continue welcome syrian refugees
269,1,1,whatever spic
270,1,1,we greatest country world we become shithole it breaks heart every day voteu2026
271,1,1,u dont like people calling u spic wetback u use n word every sentence ok
272,1,4,follow retweet win nothing faggot
273,1,5,man shut faggot ass already iu2019ve fan longer have i thu2026
274,1,1,i love you huhuhu miss u ching chong
275,1,5,follow faggot getlewd
276,1,1,see type nigger hmph
277,1,0,you sir fucking cunt
278,1,0,happy birthday liyaaaaah ud83cudf8a thank much everything spic gurl ud83dude1a enjoy daaaaay di pwude ang sadu2026
279,1,1,u300atouiceu300b u300aching chang ching chongu300bud83dude2dud83dude2dud83dude2dud83dude2dud83dude2d
280,1,1,shame england for discriminate caribbean black immigrants
281,1,1,who said something shithole countries i mean sending pipe bombs political opponents happens only shithu2026
282,1,3,are forgetting group mongy stoke fans waiting outside left ground youu2026
283,1,1,it’s okay white
284,1,3,you add 14 points 14 catches retard
285,1,3,i really canu2019t put level intelligence next semiretard point ud83eudd37ud83cudffdu200du2640ufe0f
286,1,0,if tweeting asking time awful cunt jussayin
287,1,1,friends boyfriend asked ching chong real wordno dipshit stereotype wtf
288,1,1,nigger jew
289,1,4,why kim kardashian tweet pics boobies areola twat clit timeline
290,1,3,ud83dude02ud83dude02ud83dude02ud83dude02youurre retarded
291,1,1,a team cant win ws mongoloid idiot manager charge pitching simple that
292,1,1,back v fox lets debate u call foulest shithole world n and btw iu2026
293,1,5,u r ugly retarded u stupid piece shit flaming faggot kill ur self
294,1,1,heu2019s right fucking mongoloid recently scott
295,1,3,feeding food convenient herfor pass earth saffronbreathing mongoloid skinsygni gu2026
296,1,5,breaking news dyke drought increases rapidly day goes suspicious entity read
297,1,1,chris spic glad heu2019s gone
298,1,1,the trailer curse la llorona called wetback spic not watching trash
299,1,1,ill never forget dreads hella short bitch twitter called dyke
300,1,1,this guy said slaves immigrants
301,1,3,wow i thought theres one retard turn theres more time clear list
302,1,3,i hate people i hate think i hate act everybody fucking retarded
303,1,1,prayers nigger time
304,1,1,prove negro
305,1,1,oh old cunt
306,1,1,suspicion upstairs old chinaman neighbor feigning mental illness since 3 years ago slamming gate goingu2026
307,1,1,its good weekweekend i feel good cuz kitchen spic span
308,1,3,game looks absolutely retarded even
309,1,3,sabarimala dialogues amp debates female menstruation shocking us mongoloid people how person thiu2026
310,1,1,still surprised retard became president
311,1,1,swedish feminist they retarded dangerousnnin 2017 7200 rapes reported police inu2026
312,1,1,that’s get eating pickles nigger
313,1,5,the fucker go headless win game fucking faggot
314,1,3,what retard
315,1,5,parents called loner faggot said
316,1,1,it sounded lot like u201cching chongu201d u201cme love long timeu201d i heard often childhood
317,1,5,wowpresents really taking faggot claws
318,1,1,ninjashyper aka toxic man says dont like seeing ching chong bing bong chat
319,1,1,tamilnadu all even good immigrants suffer selfcentere…
320,1,3,i hate retarded ass people bruh
321,1,4,hope yas enjoy getting tripled maybe next time actually back fuck outta lobby ya twat
322,1,5,transdayofvisibility tdov hi itu2019s chess trans dyke cannot stop recycling pictures au2026
323,1,1,that nigger really said niggaz listen album hes gay
324,1,0,did see even retard trump tweeted stupid roberts take hill the onlu2026
325,1,4,like conspiracy theorist altright terrorist cunt gives fuck the palestinians
326,1,3,your sons fucking mongy cunt ya ming
327,1,1,humour female retard get tho
328,1,1,another day americans killed illegal aliens buildthewall mandateeverify
329,1,1,real spic move
330,1,1,ive asked secure border protect us citizens illegal aliens you never ans…
331,1,3,come captain iu2019m repping you iu2019m retarded right now supportthetroops
332,1,1,hurts go back country speak language people ask live abroad accent
333,1,3,get cord mongoloid
334,1,3,stop retweeting telling people stupid guys name made retarded statement twitch con idk iu2026
335,1,1,i remember ching chong hoe flexin years ago found fuckin smh
336,1,4,bet theres feminazi silils comment talking wow bafana would day
337,1,3,this retarded bastard actually using bomb threats sent people oppose suggest conspiracy againstu2026
338,1,3,pretty sure r iphone xr stands retarded
339,1,1,fucking nigger try kill bet dont cause youre p u s s y hahaha white nigger com…
340,1,3,you know iu2019m way retarded ud83eudd8d
341,1,1,look feminazi i don’t believe listening single word pathetic hop…
342,1,0,i really unsociable twat nowadays ud83eudd26ud83cudffdu200du2642ufe0f
343,1,4,i wonder iu2019ll ever stop mongy cunt
344,1,4,supposed 5 minutes dumb cunt
345,1,1,in mn officers sign u201cclock booku201d clocks advanced retarded u23f0ud83dudea2
346,1,0,big boy carl blocked i saidnterf derogatory term faggot is neither usednhu2026
347,1,3,dream faceless trollwhat retard u r
348,1,5,there james bountrogiannis faggot
349,1,5,stfu faggot
350,1,1,u201cwhy people shithole countries comu2026
351,1,1,people always say black people africa im falkland islands fuck off
352,1,4,some cunt smashed phone hand last night ud83eudd26ud83cudffdu200du2640ufe0fud83eudd26ud83cudffdu200du2640ufe0fud83eudd26ud83cudffdu200du2640ufe0fud83eudd26ud83cudffdu200du2640ufe0f
353,1,5,fucking faggot
354,1,0,now yes politically motivated terrorist white leftist
355,1,1,fuck ill listen africa toto want
356,1,5,ratted thing worse faggot
357,1,1,olivers got full camel toe poor fucker
358,1,4,ya different cracker daddyncalled cunt pedophile nhe said youre 18ndie slow ya fuckin toe rags
359,1,0,disgusting attention seeking twat
360,1,3,streaming fortnite retard come chill 610 subs hit subbbbbbbn appreciated n
361,1,1,many many immigrants want kag
362,1,1,shit i realized earlier the phrase okay white fisherprice version 14 words
363,1,0,this guy says slaves immigrants
364,1,5,ugly depressed lonely faggot ud83dude02ud83dude02ud83dude02
365,1,1,ohhh i think something along lines go back country stupid stuff like
366,1,1,cohen said ching chong first thing came mind
367,1,1,governor brown vetoed senator ricardo laras bill sb 174 would allowed illegal aliens serve…
368,1,0,just waiting trophy hunting twat come along shoot him
369,1,1,ugandan government warned people foreign spies disguise refugees undermine security c…
370,1,3,it takes guts stand rights appear retarded
371,1,3,god doesnt make people retarded chuck norris does
372,1,3,t en retard look ton insta
373,1,5,youu2019re faggot sjdjdn
374,1,4,itu2019s gonna take time create thread i got u201cgo aheadu201d wifey annihilate cunt amp tag eu2026
375,1,3,imagine fibbonaci sequence relation golden ratio fucking retardnnthis post iu2026
376,1,1,high pitched ching chong
377,1,4,yeah mongy farmers
378,1,4,this made angry what cunt
379,1,3,this would break heart america advanced ins many ways conversely retarded wu2026
380,1,1,deep slave nigger sigh
381,1,1,camerroonians celebrities ud83dude02ud83dude02ud83dude02ud83dude02ud83dude02 people surely want shout oh wanna look retardedud83dude02
382,1,1,hey american followers country shithole political sense go vote iu2019m high pain killers
383,1,0,did obama ever call european countries shithole countries give childish nicknames opponentu2026
384,1,4,not acceptable even lion awake takes special kind cunt trophy hunter
385,1,1,i recall democrats saying shithole countries exist yet thousands people proving wrong
386,1,5,violent variety faggot
387,1,5,shut fuck fucking homestuck faggot
388,1,1,also youu2019re retard think otherwise
389,1,5,faggot lady never fuck youud83dude2dud83dude2dud83dude2d
390,1,3,thats saying u retard
391,1,1,and mongoloid copy red alert 2 decided fail mission 3 apparent reason apparently becu2026
392,1,1,a retard andor us federal asset also lolicon decided shoot synagogue gab site heu2026
393,1,1,if liberal thinks country bad trump take look shithole countries du2026
394,1,1,how depressed opie getting shane mcmahon free podcast mary jean close second though mongoloid
395,1,3,legit annoying often explain retard never play hots holy shit
396,1,3,he got retard strength ud83dude02ud83dude02
397,1,1,bombings shootings president mental capacity flea united states clearly real shithole country
398,1,5,how answer phone faggot fuck
399,1,0,matt stop labelling people far right you biased left liberal snowflakes twat shouting dismissiu2026
400,1,1,no one trying bust valenzuela mexico hmm could shithole countries
401,1,5,aye offense faggots i gotta call faggot
402,1,2,waking giants l great way start work week ud83dudd95ud83dudd95ud83dudd95ud83dudd95 eli raghead
403,1,0,i fucken hate customers come store 5 mins closing try shit on fuck cunt wanna go home
404,1,3,also getting medical advice twitter even retarded getting webmd
405,1,1,i can’t stand meanspirited nigger
406,1,3,sion titanic hydra steraks demolition mastery retarded broken virtually unbu2026
407,1,4,cause money connects doesnu2019t mean youu2019re guilty trick ass bitch become cunt nu2026
408,1,1,kpop niggas ching chong
409,1,1,some guy actually said “i love koreans yeah i’m racist i don’t like ching chong music”
410,1,1,bring nigger
411,1,1,call spic shit least u calling
412,1,3,this gronk tide pod commercial retarded ud83dudc80
413,1,5,anyone watches movie mid90s faggot cap movie whack af lol
414,1,1,used immigrants prop fulfill view world bingo
415,1,1,lee hsien loongs career criminal chinaman regular talker interrogatedn audiblu2026
416,1,1,why wouldshould new chinese immigrants care chinatown strathcona
417,1,3,fucking retarded think ok flirt guys girlfriends matu2026
418,1,3,29 1v3ed dumbass seaside retard
419,1,3,you retard ud83dude02ud83dude02ud83dude02you special ed class floyd
420,1,0,update bucks 60 manny machado still twat
421,1,0,omg babe thank you ud83dude0dud83dudc9e
422,1,3,tbh long u donu2019t look mf retarded idc itu2019s personal lives ppl want yau2026
423,1,1,what country invaders turn dystopian shithole ud83eudd14
424,1,0,my nigger lion heart i wish god forward ever back ward never man say
425,1,1,nigger fuck
426,1,5,faggot cap ud83dudcafud83dude02
427,1,1,weve heard 11 million illegal aliens decades my guess 30 million es…
428,1,4,i’m feminazi i…
429,1,1,so mans called places u201cshithole countriesu201d
430,1,4,bro tiktok created shits retarded ads put ig makes wanna die
431,1,3,mongy humour
432,1,1,im old school grew prejudice like this who pollack mick spic wop kiku2026
433,1,4,verstappen bad start crashes twat ricciardo 1st vettel 2nd
434,1,0,1 merkel leftist sheu2019s center right christian 2 how feeu2026
435,1,1,this type ball playing nigger don’t want around yo daughter nah
436,1,4,i would look like twat angle this
437,1,0,are free why u2014 no bc government cunt
438,1,1,this u201cstuffu201du2019is happens u201cshitholeu201dcountries despots charge
439,1,2,go home raghead
440,1,3,holy shit people retarded its halloween folks blood look like fucking cherry syrup
441,1,1,don’t love muslim immigrants stupid piece shit that’s can’t walk streets u idiot
442,1,3,yup sound quality retarded bass great bass much its pou2026
443,1,1,fucking raghead cunts
444,1,1,“it’s okay white”
445,1,1,hey bro let us assimilate term mongoloid namecalling disresu2026
446,1,1,itu2019s almost mueller time shithole term you used referring 3rd world countries
447,1,3,if claiming handball james milner mongoloid
448,1,0,this spineless twat criticizing countries keep mirgranthoardes woman raped streu2026
449,1,0,iu2019m sheffield wednesday fan crap mood u sick twat evil bastard
450,1,1,oh cool i love dragon ball man my favorite sasuke ching chong shit
451,1,3,im trying politically correct possible here mam fucking retarded
452,1,1,the ta said wanted chinese food girl kept repating “ching chong” he told racist said…
453,1,1,i ethnic estonian nationalist follows constitution retard
454,1,3,retard
455,1,1,bts performs kpop songnantis people idolize ching chong group cant even unu2026
456,1,3,uffe3uffe3uffe3uffe3uffe3uffe3uffe3uffe3uffe3uffe3 n stop using words n u201cautismu201d u201cretardu201d n insultsnuff3fuff3fuff3fuff3fuff3fuff3fuff3fuff3fuff3fuff3fuff3f n u2022u25e1u2022 u2026
457,1,3,thank fuck didnu2019t get vardyud83dudc4daubalacca tearing enjoy sitting bench vardy yr shits ud83dude02mongy fucker ud83dudc4dud83dude02
458,1,0,headlinenthat twat morgan talks sense changen
459,1,1,mitch mcconnell affair shithole countries
460,1,0,note hollywood fuck trumpdrumpf makes look retarded so making career decisions based pu2026
461,1,1,i mean smart enough leave 3rd world shithole came credit creu2026
462,1,3,iu2019m proud big brudda lil kevin nigga came outta jail put pressure no features whole album go retarded
463,1,1,and worth shithole countries crying him
464,1,4,i said faggot loud guy shocked got preachy i shouldnu2019t use word weu2019re au2026
465,1,5,landon romano gayshawnmendes battle title u201cworst faggotu201d
466,1,3,i know english retard but appreciate heads
467,1,1,their leaders behave like stupid kids yet wonder country shithole amp blame white people itu2026
468,1,3,suck dick till look dumb retarded
469,1,1,im saying calling shithole countries shitholes shithole bad makeu2026
470,1,3,hes right lets kick every altright retard da balls got nothn anything nfree shot
471,1,1,anyone thinks country fascist shithole watch live version cops air weekends
472,1,1,sigh finally ching chong everywhere tl
473,1,1,baby gonna pop retarded nigga
474,1,1,u say ching chong ping pong first met chinatown
475,1,0,tranquilo pe mongol ctmre
476,1,1,seasoned politician business mongol atiku abubakar answer problems lets get nigeria working again
477,1,1,until call n tell go back country
478,1,1,this negro got sample deposition album
479,1,2,shut face slap ass call dirty jew im stoked
480,1,3,retard
481,1,1,the way everyones sneezing sniffing around i need invest one facemasks chinaman always wearing ud83dude37
482,1,0,daniel odonnell bono bonos fucking insufferable robbie twat why would anybody wanna aspire liku2026
483,1,0,fucked uk fucked because im twat
484,1,1,amnesty millions illegal aliens
485,1,1,i’m racist my mom good negro friend example thx bslunch
486,1,1,harlem shake excuse go full retard 30 seconds
487,1,1,hes refugee middle eastnor shithole countrynhe cross us border caravannhes nu2026
488,1,5,throw water fellow caster lil faggot be professional
489,1,1,lobatan and waec cant reissue another one this country indeed shithole
490,1,1,unreal tweeted raghead disguise
491,1,1,if shithole countries would caravan countries
492,1,4,jesus thats also awful nah one read fellaini repping cunt dick ive love foru2026
493,1,5,lmfaoooo bro faggot losers thing minny miracle
494,1,0,psst faggot
495,1,0,wow side girl guy dyke gf ampamp enjoy twitter unforgettable bops ever happy
496,1,1,jimmy alone we paisas including 3 siblings shithole countries crossedu2026
497,1,5,suck dick lick ass faggot
498,1,5,maggie twitter tonight one would think lesbian feminazi asexual
499,1,1,lmao deleted tweets u201cspicu201d related amp u201cbeaneru201d related
500,1,1,you’re posting statistics way back 2013 i can’t see america getting immigrants…
